,X,Y,area,classification,autumn_R,autumn_G,autumn_B,autumn_NDVI,autumn_NDWI,autumn_NIR,autumn_SWIR,spring_R,spring_G,spring_B,spring_NDVI,spring_NDWI,spring_NIR,spring_SWIR,summer_R,summer_G,summer_B,summer_NDVI,summer_NDWI,summer_NIR,summer_SWIR,summer_VH,summer_VV,log_area,CO2_flux,CH4_flux,CO2_weight,CH4_weight,CO2_precentage,CH4_precentage
0,-76.46860010173853,42.26475158548149,1600,Pond,0.0171843750867992,0.0192281251656822,0.0112437499337829,5.075003150523116e-05,-4.6544480483134976e-05,0.0639968743780627,0.0937500009313225,0.0345187501516193,0.04489062493667,0.0327656253939494,3.5821557275994564e-05,-2.1734222800162684e-05,0.0766031250823289,0.1104437499307096,0.0358843753347173,0.0550625000614672,0.0360093750059604,5.631897488456161e-05,-4.304022513679229e-05,0.1393312490545213,0.1133968750946223,-21.145219152171848,-14.770086952984292,7.3777589082278725,21.21,0.65,33936.0,1040.0,0.00022663091869339983,0.0003122079617233039
1,-76.45984291845873,42.27223371735406,10900,Pond,0.0199271027416547,0.0228098130993823,0.0154219625918107,2.4238441868402613e-05,-1.8116702437778768e-05,0.0429023364297697,0.0539514011242122,0.0568574768639056,0.0690612151661766,0.0549364485125118,1.2954947540441868e-05,-3.0133032764826365e-06,0.0717233645372858,0.0798705611552033,0.0282705607780507,0.043568224132618,0.0344677569570942,3.4765903722039514e-05,-1.9472011788084658e-05,0.0794032713937982,0.0642373831681559,-21.991548545532797,-16.09857123194052,9.296518068217235,21.57,0.28,235113.0,3052.0000000000005,0.0015701283353006044,0.0009162102876726189
2,-76.46163254381608,42.26699584247255,2200,Pond,0.0385113637047735,0.0427727279337969,0.02429090897468,5.2808191123238594e-05,-5.206135723380033e-05,0.1509045453911477,0.1277545480565591,0.0503136359832503,0.0602113633331927,0.0488477276468818,2.4828280236926563e-05,-2.0096630433644432e-05,0.091777274554426,0.1030181795358657,0.0411886361173608,0.0569272722032937,0.039411363615231,5.446565707891502e-05,-4.476844300039705e-05,0.1692613664675842,0.1298545436425642,-18.583655508216257,-13.11758269925686,7.696212639346407,21.21,0.65,46662.0,1430.0,0.0003116175132034248,0.00042928594736954285
3,-76.4606957293055,42.2665875173434,1400,Pond,0.0361821429271783,0.0576214294082352,0.0205607144162058,5.938789711633165e-05,-4.400797895089324e-05,0.1462035716644355,0.108242859265634,0.0430285715098891,0.0604714285582304,0.0442857146263122,5.2681669590778514e-05,-4.082194962912971e-05,0.1585785714643342,0.1354428540383066,0.0399428570110883,0.0660071436847959,0.0397428574838808,6.332950839090959e-05,-4.378058617606128e-05,0.185196431087596,0.1247999992753778,-17.690635784258586,-11.74761358019117,7.24422751560335,21.21,0.65,29694.0,910.0,0.00019830205385672485,0.0002731819665078909
4,-76.44734719195264,42.26996689388843,2100,Pond,0.0130809526003542,0.0115523808857514,0.0066761904662208,5.397860271235307e-05,-5.660842431271227e-05,0.0454476197649325,0.0709714289932023,0.0457666672411419,0.0542833333214124,0.0464857144369965,3.98716611449518e-05,-3.2500268605959026e-05,0.1168023816176823,0.1176976192565191,0.0236976193707613,0.0361357147672346,0.0292404763223159,6.292860000810054e-05,-5.051117650942788e-05,0.1255428563980829,0.0940238088369369,-18.846246811798625,-12.979134972734258,7.649692623711514,21.21,0.65,44541.0,1365.0,0.00029745308078508726,0.0004097729497618364
5,-76.4414473993819,42.269695688226456,500,Pond,0.0202600002288818,0.0330200005322694,0.0151799999177455,5.840129451826215e-05,-3.607375219871756e-05,0.0787400007247924,0.0841600015759468,0.0723199993371963,0.0814900010824203,0.0710800006985664,3.819363482762128e-05,-2.859809246729128e-05,0.1347200021147728,0.1403600007295608,0.0283999998122453,0.0474999994039535,0.0314100004732608,6.230865910765715e-05,-4.477036563912407e-05,0.1397799998521804,0.1164700001478195,-18.966880359489068,-12.981608525119396,6.214608098422191,35.18,2.28,17590.0,1140.0,0.0001174692910129922,0.00034222795804285237
7,-76.42370533981119,42.27263284649616,2700,Pond,0.0137739130700735,0.0162760871867446,0.009297826124922,6.09657303278294e-05,-5.326500151726498e-05,0.0652521743398645,0.0743956507548042,0.0257217390057833,0.0363043477029904,0.0277434785080992,4.600306198446323e-05,-3.1909149860755704e-05,0.0815739127928796,0.0995043483765228,0.018128260889131,0.0304869569676077,0.0269586959772783,6.567401151582801e-05,-5.033979766227751e-05,0.1027195654485536,0.084934781750907,-18.932011857282472,-13.330773750012154,7.90100705199242,21.21,0.65,57267.0,1755.0,0.0003824396752951122,0.0005268509354080754
8,-76.42423567853818,42.27023467739692,500,Pond,0.0297600001096725,0.0339199997484684,0.0168000001460313,5.197170612518676e-05,-4.252290964359418e-05,0.0902399972081184,0.1498400002717971,0.0291799999773502,0.0493600003421306,0.0341400001198053,5.937188325333409e-05,-4.855343067902141e-05,0.132999999821186,0.1414600014686584,0.0273999996483325,0.0429600000381469,0.0331000007688999,7.119354995666072e-05,-5.967537363176234e-05,0.1750799983739853,0.1388400018215179,-16.609042422228868,-11.680750611601592,6.214608098422191,35.18,2.28,17590.0,1140.0,0.0001174692910129922,0.00034222795804285237
9,-76.4236435715944,42.26588839370925,2300,Pond,0.0169347827120319,0.017217391130069,0.0116826087722311,3.847091924715483e-05,-3.984962823660285e-05,0.0416434783002604,0.1073130443692207,0.0426891306820123,0.0510695651173591,0.0438260868515657,4.06210823237653e-05,-3.294538715715095e-05,0.0997260860774828,0.1478260852720426,0.0241739130376473,0.0386086952589128,0.0296173914457144,5.600445713397399e-05,-4.230991568044334e-05,0.1153739125508329,0.1095913055798281,-20.059806882473985,-14.743565066939032,7.7406644019172415,21.21,0.65,48783.0,1495.0,0.00032578194562176224,0.00044879894497724937
10,-76.43824141194571,42.27510154998067,900,Pond,0.0411111103991667,0.0557722217506832,0.0323000001824564,1.1780781076393194e-05,-7.215871215117254e-07,0.0741777769807312,0.108838892645306,0.0681222221917576,0.0747277778055932,0.0650666654109954,1.548598647281728e-05,-8.344584165974487e-06,0.0963222227162785,0.1266666683885786,0.0678611120416058,0.0931555562549167,0.0627888879842228,1.9064165700102523e-05,-9.117620095366874e-06,0.1264555545316802,0.1246444467041227,-20.891735994788704,-14.784168006309883,6.802394763324311,35.18,2.28,31662.0,2052.0,0.00021144472382338594,0.0006160103244771342
